Soil.layer,Landuse,SOC_yi,SOC_vi,LI_yi,LI_vi
topsoil,Cropland,56.81818187,0.006670222,91.66023173,0.668893869
topsoil,Cropland,157.2727273,0.006670222,-17.42193321,0.668893869
topsoil,Cropland,108.6363637,0.006670222,22.70079268,0.668893869
topsoil,Cropland,139.090909,0.006670222,45.20560158,0.668893869
topsoil,Cropland,314.5454547,0.006670222,8.719392925,0.668893869
topsoil,Cropland,531.818182,0.006670222,-47.53113768,0.668893869
topsoil,Cropland,258.6363635,0.006670222,72.45939526,0.668893869
topsoil,Cropland,405.4545452,0.006670222,20.2057339,0.668893869
topsoil,Cropland,40.00000005,0.006670222,-53.07459679,0.668893869
topsoil,Cropland,94.87179484,0.006670222,-25.45184168,0.668893869
topsoil,Cropland,101.5384615,0.006670222,22.70322586,0.668893869
topsoil,Cropland,41.02564101,0.006670222,-26.75059009,0.668893869
topsoil,Cropland,114.3589744,0.006670222,-40.30285093,0.668893869
topsoil,Cropland,321.0256411,0.006670222,-44.39689294,0.668893869
topsoil,Cropland,109.2307693,0.006670222,-18.83173497,0.668893869
topsoil,Cropland,192.8205128,0.006670222,69.46101731,0.668893869
topsoil,Cropland,436.4102564,0.006670222,12.57406189,0.668893869
subsoil,Cropland,26.43678159,0.006670222,-36.84210524,0.668893869
subsoil,Cropland,68.96551722,0.006670222,1.582389252,0.668893869
subsoil,Cropland,37.93103447,0.006670222,11.47540984,0.668893869
subsoil,Cropland,17.81609196,0.006670222,-18.56287428,0.668893869
subsoil,Cropland,57.47126434,0.006670222,34.8849511,0.668893869
subsoil,Cropland,76.43678154,0.006670222,53.14565485,0.668893869
subsoil,Cropland,59.77011487,0.006670222,94.85380121,0.668893869
subsoil,Cropland,179.8850575,0.006670222,20.93695781,0.668893869
subsoil,Cropland,382.7586209,0.006670222,76.08675329,0.668893869
subsoil,Cropland,9.770114961,0.006670222,-39.04087016,0.668893869
subsoil,Cropland,14.36781615,0.006670222,-3.921056085,0.668893869
subsoil,Cropland,15.5172414,0.006670222,36.01765031,0.668893869
subsoil,Cropland,-4.022988525,0.006670222,45.02252251,0.668893869
subsoil,Cropland,18.96551724,0.006670222,-8.552029148,0.668893869
subsoil,Cropland,66.09195404,0.006670222,-9.02632436,0.668893869
subsoil,Cropland,52.29885061,0.006670222,93.64709528,0.668893869
subsoil,Cropland,144.2528736,0.006670222,-1.921303102,0.668893869
subsoil,Cropland,226.4367818,0.006670222,63.52037315,0.668893869
subsoil,Cropland,3.947368402,0.006670222,-9.271621983,0.668893869
subsoil,Cropland,-19.07894733,0.006670222,43.07897077,0.668893768
subsoil,Cropland,11.84210524,0.006670222,-20.95126935,0.668893869
subsoil,Cropland,22.36842107,0.006670222,-4.753317311,0.668893768
subsoil,Cropland,70.39473687,0.006670222,5.485150134,0.668893768
subsoil,Cropland,87.49999992,0.006670222,19.33395008,0.668893869
subsoil,Cropland,69.07894736,0.006670222,197.1273293,0.668893869
subsoil,Cropland,138.1578947,0.006670222,54.04164116,0.668893869
subsoil,Cropland,262.4999999,0.006670222,111.7282608,0.668893869
subsoil,Cropland,4.729729713,0.006670222,-48.13596493,0.668893869
subsoil,Cropland,15.54054057,0.006670222,-20.12383899,0.668893869
subsoil,Cropland,-5.405405391,0.006670222,69.73684209,0.668893869
subsoil,Cropland,18.24324322,0.006670222,29.32330832,0.668893869
subsoil,Cropland,-4.054054038,0.006670222,148.0769231,0.668893869
subsoil,Cropland,72.29729723,0.006670222,41.58144181,0.668893869
subsoil,Cropland,54.05405402,0.006670222,311.1934767,0.668893869
subsoil,Cropland,40.54054055,0.006670222,156.2913907,0.668893869
subsoil,Cropland,283.1081081,0.006670222,267.1481694,0.668893869
topsoil,Cropland,8.648490132,0.003630066,40.22031328,0.668893869
topsoil,Cropland,2.266594688,0.004410097,129.3128563,0.668893869
topsoil,Cropland,20.61521859,0.02694633,91.08094556,0.668893869
topsoil,Cropland,24.20399353,0.00202002,156.8190086,0.668893869
topsoil,Cropland,8.648490132,0.003630066,10.99356082,0.668893768
topsoil,Cropland,2.266594688,0.004410097,17.82034155,0.668893768
topsoil,Cropland,20.61521859,0.02694633,25.03394907,0.668893768
topsoil,Cropland,24.20399353,0.00202002,23.66922512,0.668893768
topsoil,Cropland,98.17890553,0.672249521,132.6185699,0.668893869
topsoil,Cropland,103.1958284,0.672249521,117.0370308,0.668893869
topsoil,Cropland,141.8143265,0.672249521,-2.03892695,0.668893869
topsoil,Cropland,127.0499838,0.672249521,34.59444703,0.668893869
topsoil,Cropland,157.7964154,0.672249521,264.6633517,0.668893869
topsoil,Cropland,126.3698545,0.672249521,155.8355645,0.668893869
topsoil,Cropland,98.17890553,0.672249521,-1.72494942,0.668893869
topsoil,Cropland,103.1958284,0.672249521,1.308486736,0.668893869
topsoil,Cropland,141.8143265,0.672249521,237.9662323,0.668893869
topsoil,Cropland,127.0499838,0.672249521,149.8764781,0.668893869
topsoil,Cropland,157.7964154,0.672249521,-22.8829697,0.668893869
topsoil,Cropland,126.3698545,0.672249521,41.65978066,0.668893869
topsoil,Cropland,98.17890553,0.672249521,442.4269381,0.668893869
topsoil,Cropland,103.1958284,0.672249521,216.1040157,0.668893869
topsoil,Cropland,141.8143265,0.672249521,9.231576761,0.668893869
topsoil,Cropland,127.0499838,0.672249521,133.714339,0.668893869
topsoil,Cropland,157.7964154,0.672249521,338.8721151,0.668893869
topsoil,Cropland,126.3698545,0.672249521,230.3955292,0.668893869
topsoil,Cropland,98.17890553,0.672249521,8.686781999,0.668893869
topsoil,Cropland,103.1958284,0.672249521,-12.07551351,0.668893869
topsoil,Cropland,141.8143265,0.672249521,370.0502797,0.668893869
topsoil,Cropland,127.0499838,0.672249521,267.5482399,0.668893869
topsoil,Cropland,157.7964154,0.672249521,53.14974603,0.668893869
topsoil,Cropland,126.3698545,0.672249521,44.32772518,0.668893869
topsoil,Cropland,67.51740143,0.379643327,-6.918990304,0.333889473
topsoil,Cropland,34.68677494,0.320247299,-7.605247493,0.333889473
topsoil,Cropland,204.7563805,0.337045425,-41.96396777,0.333889473
topsoil,Cropland,3.592814363,2.187006527,84.56165369,0.668893869
topsoil,Cropland,-8.582834334,0.471349574,109.4032396,0.668893869
topsoil,Abandoned,22.98578197,10.09955302,50.80009793,0.668893869
topsoil,Abandoned,8.530805679,8.251049284,71.0974539,0.668893869
topsoil,Abandoned,48.50523409,0.211840065,26.18200565,0.668893869
topsoil,Abandoned,-54.16889858,1.303262189,-35.17512858,0.668893869
topsoil,Abandoned,-55.05922679,0.482313505,1.097623567,0.668893869
topsoil,Abandoned,-66.7054472,0.658544431,-42.62008019,0.668893869
topsoil,Abandoned,-59.31558257,0.243466199,3.399709851,0.668893869
topsoil,Abandoned,-85.41333187,1.54514328,-61.31064696,0.668893869
subsoil,Abandoned,-62.86361692,0.139420801,-10.83167015,0.668893869
subsoil,Abandoned,-89.05608301,3.437465392,-64.51809419,0.668893869
subsoil,Abandoned,-67.47575328,0.624905639,-25.63747476,0.668893869
